番名,标签,总播放,追番人数,弹幕总数,开播时间,话数,声优,简介
天才傻瓜 复活的弗兰德之犬,,1.8万,1777,132,2015年5月开播,已完结， 全1话,,国民的漫画家赤冢不二夫先生的诞辰80周年纪念，作为名作噱头漫画《天才傻瓜”首次长篇动画电影被制造，成为“天才笨蛋ヴォン苏醒佛兰德斯的狗」的标题在2015年春假全国公开放映的事决定了。导演，剧本，担任声优的“秘密结社鹰爪」系列而闻名的FROGMAN映像创造者。傻瓜一家，“世界名作剧场”第1作品，播放的人气“佛兰德斯的狗”的主人公·尼禄和爱犬帕托高峰的，绝对不应该一起变成2组介绍成功了。故事，感动了整个日本“佛兰德斯的狗”的最后一幕开始。但是，尼禄和帕托高峰是天使的手，振りほどき奴才成为在现代苏醒的设定。到现在自己们欺负了对人类的报复的鬼，成为反复做坏事中傻瓜一家和相遇。本篇中，原作绝对看不到的尼禄和帕托高峰的可怕的姿态，傻瓜一家的改变不了的愚蠢的焦点，同时也有《天才傻瓜”的著名角色登场。FROGMAN，傻瓜一家通过关怀的重要性，作为人类真正的聪明和有什么问题，甚至“就这样好了！”现代社会的一句猛烈皮肉り的同时，谁也能享乐的现代版的“傻瓜”的故事
鲁邦三世：鲁邦暗杀指令,热血+奇幻+时泪,2.2万,1770,1028,1993年7月开播,已完结， 全1话,山田康雄、小林清志、大冢周夫、二阶堂有希子、纳谷悟朗,“鲁邦三世”是日本动漫界的传奇，有不死传说之喻，漫画作者加藤一彦(Monkey Punch)曾表示，鲁邦三世的冒险精神是他一生追求的，身为漫画家的他，主要的休闲活动就是创作，所有的梦想、幻想都在“鲁邦三世”实现。猴子拳将鲁邦三世塑造成一个让人无法讨厌的怪盗，让读者羡慕鲁邦三世逍遥的生活。鲁邦一行周游于世界各地，不时重操盗窃的老本行。
真救世主传说 北斗神拳 拉欧传 殉爱之章,热血,-,1772,-,2006年3月开播,已完结， 全1话,阿部寛、宇梶剛士、堀内賢雄、青山桐子、藤生聖子、堀内賢雄、大塚周夫、岸尾だいすけ、デビット伊東,谈起《北斗神拳》(以下简称《北》)，绝大多数人会联想到那些血淋淋的爆裂，被切断的尸体，会联想到暴力与血腥。然而，在这片鲜血池中，却生长着一支支殷红的玫瑰。那就是《北》中情与爱的结晶。《北》的世界，是一个蛮荒的世界，没有法律，没有道德准绳，惟有力量是生存的根本。一切在核战的洗礼后回归原始，人的情感也回归到了那个蛮荒的年代，有些人选择顺从的做一个野蛮的原始人，有些人选择净化自己的情感成为蛮荒沙漠上的绿洲。就在这个原始与纯真冲突的时代，情与爱的玫瑰盛开的光彩分外夺目。《北》的情爱不是小男女调情的嬉戏，没有童话中王子与公主的缠绵，《北》所拥有的，是埋藏在人类心灵深出最真挚，最朴实的情爱。有三个女人，给《北》这个满布蛮荒的世界装点上几分温柔，也让那些铮铮铁汉们魂牵梦莹，甚至不惜牺牲生命。
微星小超人,热血,4.1万,1753,545,1999年1月开播,已完结， 全52话,伊藤健太郎、斋贺みつき、真殿光昭、飞田展男、古泽彻、本田贵子、铁炮冢叶子、半场友惠、置鲇龙太郎,《微星小超人》（Chiisana Kyojin Microman）日文名 小さな巨人ミクロマン 。在你所不知道的角落里，奥克罗星人正伸出魔掌，企图征服地球。...体积微小、守护地球和平的微星小超人烧起冲天斗志！史上最迷你、最激烈的地球保卫战就此展开。
超时空骑团,热血+科幻,1.9万,1752,284,1984年4月开播,已完结， 全23话,富沢美智恵、飛田展男,未来因为环境的污染，人类离开地球纷纷踏上开拓其他的星球的旅程，行星库罗利艾（Glorie）的居民，甚至佐尔族都是这些人的后裔。库罗利艾人并没有忘记这一点，不过对他们来说，自己的母星不是远在太阳系的地球，而是第一个开发的星球利贝鲁堤。两个星球的关系也非常亲密，库罗利艾的历史虽短，不过拥有独立地位，是利贝鲁堤的同盟国，守卫它的军队是南十字军。至于佐尔人，可能因为原始佐尔（就是生命之花）的关系，他们已经遗忘了自己的过去。佐尔族是原始佐尔通过释放一种生化能量（BIO ENERGY)于人类精神融合后产生的一个人种，可生化能量却会抑制人的感情，不过要长期保持原始佐尔的功效，则必须不断的沐浴生化能量。但是，库罗利艾人并不知道，Glorie是佐尔族先祖的母星。佐尔族是一个高度发达的种族，他们在银河中漫游了数百年。虽然佐尔族在几世纪之前放弃了Glorie，但他们返回此地，准备收复自己的母星。不巧的是，人类已经把Glorie改造成自己的新家园，人们拒绝离开这里。由于Glorie没有足够的粮食产量同时养活人类和佐尔族，于是双方为了这颗星球仅有的物产爆发了一场大战。
潜艇代号707R,战斗,2.7万,1751,1151,2003年9月开播,已完结， 全2话,石塚运昇、樋浦勉、家中宏、小野贤章、石田彰、阪口大助、须藤祐実、篠原美,潜艇代号707R，为了保护海洋的和平，PKN团结世界各地的精英，从一个名不见经传的组织USR企图征服世界的表达与血清突然袭击。 PKN舰队没有在红海军上将前束手无策，导致潜艇UX USR，通过与老船长速水洋平的707号潜艇使航母避免了被鱼雷打沉的危机。
无口的森田小姐 OAD,少女,2.9万,1743,687,2012年1月开播,已完结， 全2话,花澤香菜、戸松遥、早見沙織、南條愛乃、平賀三恵、佐藤亜美菜、七瀬亜深、大野浩一,oad 01+02 DVD付き『森田さんは無口』第5巻
3年D班玻璃假面,校园+恋爱,4.9万,1739,540,2016年10月开播,已完结， 全12话,田中敦子、阿澄佳奈、大久保瑠美、梶裕貴、小野大輔,让我们给这个冷漠的世界加热吧！那5人这回在学园里大闹！在现代的高中上学的北岛真夜、姬川亚弓、月影千草、樱小路优。还有理事长的青澄。她们为了给已经改变凉透了心的现代人，从玻璃假面的时代穿越到现在，成为究极的演艺人。北岛真夜、姬川亚弓、月影千草、樱小路优，用他们的演技魂和热情感化心怀烦恼的人们。另一方面，作为理事长的真澄觉得美必要救这个冷漠的世界。烦恼热情、演技和泪水，微笑和白眼真的让人觉得困扰。那么，3年D组的玻璃假面，开幕了！
超时空世纪ORGUSS,热血+科幻,3万,1737,1077,1983年7月开播,已完结， 全35话,速水奖、佐佐木るん、泷泽久美子、桥本晃一、花咲きよみ、坂本千夏、屋良有作、室井深雪、铃置洋孝→堀内贤雄,2062年，为了轨道电梯的所有权，地球分为两大阵营而互相争夺；主角桂木桂隶属的自由宇宙军，计划以新研发的D兵器“时空震动弹”破坏轨道电梯的能源供应，但是行动遭遇到敌对阵营的猛烈炮火而不得不撤退，危急中怒火中烧的桂木桂，启动了尚未调整好的时空震动弹，结果引发了始料未及的时空混乱，造成多元世界同时出现互相混合，并形成了“相克界”，桂木桂也因此被卷入震波而时空转移，来到了事件发生的20年后的混乱时空世纪20年。桂木桂被埃曼人（エマーン）的商队寻获并一同行动，但是桂木桂却由于身为修复混乱时空的关键“特异点”，因而成为各势力争夺的目标；在不断战斗与寻求解决之道的同时，桂木桂官校的同窗欧森竟然出现在眼前，并且与他兵戎相见；甚至还见到了自己未来的女儿雅典娜。桂木桂最终将面对新旧交杂的世界，并试图修复时空混乱的局面。而桂木桂终于发现，要想让时空回归正轨的最后手段，竟是得前往当初时空震动弹启动前那一刻的时空中，并杀死当时的自己…
D·N·A² ~他到底失去了什么？~,科幻+恋爱+漫改,7.5万,1741,4889,1994年10月开播,已完结， 全12话,难波圭一、富永美衣奈、林原惠美、笠原弘子、椎名碧流、子安武人、岩田光央、菊池英博、峰惠研、丸山裕子、山田荣子、大林隆之介、筈见纯、玉川纱己子,西元2060年的地球，人口爆炸，造成严重的社会问题，为了抑制入人口，凡是生育超过一个小孩的人都必须处死。岂料有一个超级花花公子竟然让100个女人怀孕，导致生下100个具有相同好色基因(DNA)的小孩散布在世界各地。为了解决这个可怕的问题，未来政府派遣一位少女特使－－加林，穿越时空来到90年代，试图找出这个16岁的高中嫌犯：超级花花公子
银河英雄传说外传 千亿的星辰、千亿的光芒,热血+科幻,-,1714,-,1998年9月开播,已完结， 全12话,杨威利、莱纳‧布鲁姆哈尔特、小杉十郎太、政宗一成、希尔德·冯·..,浩瀚无垠的宇宙、不停前进的人类、永无休止的争斗。 不管是以往的历史，或未来的展望，是已知，是空想，只有一件事实存在── 「人类永远无法自历史的教训中学得任何教训。」 在距今数百年之後的世界，人类已经开始将足迹向全银河系散播，在任何可能探索的角落，高唱著科学技术的胜利。 只是，很可惜的，人类的灵性世界，并没有随著居住环境的拓展一同成长。和宇宙开发史相伴的，是连续不断的战乱、和人心的萎靡。 从地球政权毁灭的灰烬、银河联邦的成立，到民主共和体制的衰亡垮台、以至於发展为两大势力以银河支配权为赌注的长期战争。人类将对立和破坏的剧本重演了无数次，只留下以愚昧和尝试相互交错而写成的历史。 然而，两位英雄人物的偶然相遇，改写了银河的历史，也改变了他们周遭众多人物的际遇。
先驱少女的日常茶饭事,,2.3万,1710,228,2017年8月开播,连载中,爱德华兹、麦罗拉,这是一个与我们世界极其相似、宇航业高度发展的世界。一日，那个世界的驻空间站宇航系学生芭拉拉和卡伦连通了与我们这个世界的通信讯号。为了锻炼“就算遇到外星文明也可以顺利交流”的能力，她们的目标是在我们的世界成为拥有1亿（？）粉丝的视频主播。
威尔贝鲁物语～威尔贝鲁的姐妹～ 第二幕,热血+奇幻,-,1710,-,2008年1月开播,已完结， 全13话,高桥美佳子、竹内顺子、长、仙台惠理、杉田智和、上别府仁资、鹤冈聪,本次故事紧接第一季，为了回避战争而踏上旅行的威尔贝鲁国公主丽塔与女盗贼蒂娜平安的向达莱达姆国送交诉状，从而完成了回避战争的任务。但是这也意味着他们分开生活的来临。为了寻觅杀亲仇人“死神蜂之男”的蒂娜及又回到公主生活的丽塔都感到了莫名的寂寞。而回到威尔贝鲁的丽塔及决定踏上复仇之路的蒂娜。 “就这样了么？不和丽塔一起旅行了么？希望这样的话把她抢过来不就好了么？”如此对自己说的蒂娜。出发的那天，丽塔看到蒂娜独自面对着城墙，丽塔说：“无论你去哪里，我都要和你在一起。这次轮到我来助蒂娜一臂之力。”她的话加强了两个人之间的羁绊。而他们又再次和伙伴基恩，妖精雪莉以及战车基拉诺·德·波尔切拉克一起，展开了新的旅行，而这次面对他们的又将是怎样的命运呢？
秀逗魔导士 RETURN,战斗+魔法,-,1712,-,1996年8月开播,已完结， 全1话,林原惠美、松本保典、绿川光、铃木真仁、冬马由美,"　　莉娜与娜卡的面前突然出现一位泪汪汪的美少女。她的名字叫莎琳娜，十天前她所居住的比亚兹村落，被一个名为塔因的秘密组织所驱使的下级恶魔占领，她是来请求她们帮忙，并且述说恶党们还胁迫村人去做一些挖掘的工作。平常要是没有酬劳，莉娜是不会接受委托的。不过她却突然想起在比亚兹村落有著""妖精之传说""，便接下了此次的任务。　　从本作开始，「用拖鞋殴打娜卡」和「在结尾争夺钱币」的片段剧情在剧场版中变成惯例。"
秀逗魔导士 GORGEOUS,战斗+魔法,-,1709,-,1998年8月开播,已完结， 全1话,林原惠美、松本保典、绿川光、铃木真仁、冬马由美,莉娜和娜卡正优闲自在地在可尔多伦城市内享受美食，一群龙之集团突然出现在她们的面前。率领龙之集团的美少女玛蕾妮和可尔多伦的士兵们展开对决，莉娜她们就这麼不知所以然地被卷入这场骚动。不过，龙之军团却在莉娜要施展攻击魔法时全数逃之夭夭。卡伯特城的领主卡伯特召见她，并述说事件的起因。因为看到莉娜的身手如此厉害，便拜托她帮忙，只要将其爱女玛蕾妮带回，就付赏金200枚金币。但其实这一次骚动的原因是他的女儿要求提高零用钱不成所引起的。同一时刻，玛蕾妮付给娜卡日薪，请她协助打倒她的父亲。到了隔天，事态的演变却越来越严重……莉娜在结尾被抢走钱币之後，虽然立刻用「覇王雷撃阵（ダイナスト?ブラス）」想要抢回来，却被刚好经过的乌鸦叼走了。另外，在前两部中的都是铜币，在本作中却是金币（在最後被抢走的那枚）。
鲁邦三世：Master File,热血+搞笑+时泪,4.3万,1704,697,2012年3月开播,已完结， 全1话,栗田貫一、小林清志、井上真树夫、増山江威子、山寺宏一,“鲁邦三世”是日本动漫界的传奇，有不死传说之喻，漫画作者加藤一彦(Monkey Punch)曾表示，鲁邦三世的冒险精神是他一生追求的，身为漫画家的他，主要的休闲活动就是创作，所有的梦想、幻想都在“鲁邦三世”实现。猴子拳将鲁邦三世塑造成一个让人无法讨厌的怪盗，让读者羡慕鲁邦三世逍遥的生活。鲁邦一行周游于世界各地，不时重操盗窃的老本行。
元气爆发伏魔金刚,热血+科幻,2.5万,1699,813,1992年4月开播,已完结， 全47话,岛田敏、西村知道、折笠爱、、岛田敏,魔界的暗黒魔王虽然再一次比自远古已经开始守护地球的A|卫多蓝光之人艾度兰，再次封印，可是暗黒魔王的部下黑暗青发妖闇野狸鼠三世已经出动了。王小虎（雾 隠虎太郎）雾隠虎太郎、陈力哲（流崎力哉）流崎力哉和邱英杰（风祭鹰介）风 祭鹰介是青空校园的四年级生。他们无意中在山中遇上卫多蓝光之人艾度兰，得到三部可以合体机器人。这次保护地球，对抗暗黑魔王的重任，就落在他们三人身上了。最后决战，魔王A|固克极恶极（暗黒魔王）向A|黑暗青发妖闇野狸鼠三世报梦。传递令自己及两个魔王A|沙克最恶极、A|霍克穷凶极复活及解除封印的咒语。及后三大魔王复活，极恶极背弃闇野狸鼠三世，自己与两大魔王统治人间。闇野狸鼠三世顿时沦为弃卒。小虎（虎太郎）虎太郎、力哲（力哉）力哉、英杰（鹰介） 鹰介等人终因身份揭穿而变成小狗。而王大空（藤兵卫）藤兵卫差一点亦变回人。本以为消灭了极恶极，但他以魔掌形态重生，并 以握碎地球，令地上人类缺氧黑暗青发妖闇野狸鼠感到与极恶极的理念不一致，转向与元气小子等人合作。最后闇野狸鼠三世替虎太郎三人先行解除诅咒对付极恶极。最后极恶极消灭后，王大空（藤兵卫）藤兵卫变回人，而最后闇野狸鼠三..
真救世主传说 北斗神拳ZERO 拳四郎传,热血,14.6万,1701,9661,2008年10月开播,已完结， 全1话,阿部寛、飯塚昭三、朴璐美、今野宏美、青野武、石田ゆり子、桐本琢也、田中秀幸、,谈起《北斗神拳》(以下简称《北》)，绝大多数人会联想到那些血淋淋的爆裂，被切断的尸体，会联想到暴力与血腥。然而，在这片鲜血池中，却生长着一支支殷红的玫瑰。那就是《北》中情与爱的结晶。《北》的世界，是一个蛮荒的世界，没有法律，没有道德准绳，惟有力量是生存的根本。一切在核战的洗礼后回归原始，人的情感也回归到了那个蛮荒的年代，有些人选择顺从的做一个野蛮的原始人，有些人选择净化自己的情感成为蛮荒沙漠上的绿洲。就在这个原始与纯真冲突的时代，情与爱的玫瑰盛开的光彩分外夺目。《北》的情爱不是小男女调情的嬉戏，没有童话中王子与公主的缠绵，《北》所拥有的，是埋藏在人类心灵深出最真挚，最朴实的情爱。有三个女人，给《北》这个满布蛮荒的世界装点上几分温柔，也让那些铮铮铁汉们魂牵梦莹，甚至不惜牺牲生命。
团地友夫,日常,30.7万,1696,2.4万,2013年4月开播,已完结， 全79话,,"居住在枝岛小区29号楼的小学生木下友夫，平时与母亲和姐姐两人一起生活，父亲则独自在外地工作，每天与周围的朋友们都过着怎样的生活呢？作品以架空的住宅区“枝岛小区”为舞台，主要是围绕居住在这个小区以及周边地域的人们展开故事。描写了他与住在附近的同班同学们一起度过的虽然有点无聊但也充满快乐的日常生活。"
巴比伦二世,科幻,1.8万,1691,55,1973年1月开播,已完结， 全39话,神谷明、大冢周夫、野田圭一、山口奈々,《巴比伦2世》，是日本漫画家横山光辉的科幻漫画作品。1971－1973年在周刊少年Champion连载，秋田书店发行其单行本，全12册。另有番外篇《バビル二世外伝 恐怖の予言の巻》，和后续漫画《その名は101》（1977－1979年，全5册）。曾被改编成动画电视于1973年1月1日－1973年9月24日在NET电视台（今朝日电视台）播出。漫画讲述的是5000年前来到的宇宙人·巴比伦的后代山野浩一，以巴比伦塔为根据地，和三仆人一起维护世界和平，对抗企图征服世界的恶人ヨミ的故事。
绝对无敌雷神王,热血+少儿+科幻+机战,3.3万,1688,515,1991年4月开播,已完结， 全51话,松本梨香、岩坪理江、丸田麻里、南杏子、佐藤智惠,从五次元而来的邪恶军团“嘉克帝国”开始准备进攻地球了。而阻挡他们的是从古代开始就保护地球的艾鲁多兰和他所驾驶的雷神王。可是，雷神王被帝国的司令官贝路塞夫卑鄙的手段所伤，而坠落到地球。雷神王坠落到阳升学园里，艾鲁多兰将操纵雷神王的雷神金属托付给5年3班的学生后逝去……三位学生日向仁、月城飞鸟和星山吼儿成为了剑王、凤凰和兽王的驾驶员，出击迎战“嘉克帝国”的邪恶兽。 在战斗中，小岛勉发现三台机器人可以合体，三人最后合体成雷神王，成功地打倒了邪恶兽。 就这样，小学生组成的「地球防卫组织」和邪恶的嘉克帝国的战斗开始了……
神秘的世界EL-HAZARD  OVA,热血+奇幻,-,1681,-,1995年5月开播,已完结， 全7话,岩永哲哉、石井康嗣、夏樹リオ、井上喜久子、石村知子、阪口あや、小桜エツ子、島..,高中生水原诚为园游会作准备，开始设置一些实验装置，但另一方面将诚视为对手的学生会长－阵内克彦，为了恶搞他而企图破坏，但反而让装置失控、结果诚、阵内、阵内的妹妹菜菜美及教师藤泽四人被一道光芒传送到异世界耶路哈萨德。在被传送到异世界后，诚和藤泽偶然间拯救了被怪物袭击的少女。那个少女正是罗舒大利亚王国的伦公主。被带到王国的诚和藤泽，为了找出回到原来世界的方法而滞留在这、并且还被卷入罗舒大利亚王国跟巴克罗姆王国（士兵皆为人型大小的昆虫型态）之间的战争，之后两人也奇迹式的遇到菜菜美和阵内，菜菜美也正式加入罗舒大利亚的势力。
漫画同人会 Revolution,搞笑,1.2万,1676,702,2003年12月开播,已完结， 全13话,石川静、茶山莉子、むたあきこ、茂呂田かおる、山田美穂、園崎未恵、倉田雅世、馬場澄江、菊池正美,"有一天，千堂和树和中学时代就一直同班的高濑瑞希一起向另外一个同学九品佛大志所约定的地方前去。在车站那里等他们的大志带他去的地方，竟然是有几千人在排队的地方。那里是“动画 漫画 游戏”的大会！漫画新刊展！在大志的""阴谋""下，开始走向征服世界的一步的 ---那一步也同时下了决心去参加漫画展。但是连漫画是什么都不懂的和树受到了一个接着一个的挫折，和树说不想再参与同人志的活动了。看到那样的他，由宇邀请他一起卖同人志。和树在旁边帮忙由宇卖同人志。当他问彩为什么要进行同人活动时，开始慢慢的发现自己的答案……"
苏希的动物园,日常+治愈+少儿,3.1万,1676,884,2011年4月开播,已完结， 全10话,,由美国圣地亚哥的插画家Suzy Spafford所创作的人气系列「Suzy's Zoo」，作品的风格清新治愈，讲述可爱的黄色小鸭Witzy，无论何时都跟Witzy在一起的泰迪熊好朋友Boof以及其他动物伙伴们之间发生的故事。今年4月，这部40多年来深受世界各国的大人小孩喜爱的作品，将首度在日本动画化，并且还请来了中原麻衣、白石凉子等超闪亮的声优阵容助阵，可谓期待度满点啊！
变形金刚 三乘合体,热血+少儿+机战,3.5万,1676,510,2013年7月开播,已完结， 全10话,,汽车人总司令官·擎天柱及领袖卫队和霸天虎的战斗还在持续着，因霸天虎科学参谋·震荡波的实验而被再现的远古塞博特恩生物：巨狰狞却发生了暴走，其中最为强悍的几只巨狰狞逃到了地球，虽然擎天柱等人历经艰辛终于封印了其中最强的恶鬼大帝·冲云霄，但却不得不回到和霸天虎的战场上，追击其余巨狰狞的任务就交给了被称为刀剑太保的两组新汽车人小队，他们从战国时代就沉睡在日本，现在将被人类的少年唤醒，阻止巨狰狞干部·四鬼众复活冲云霄的计划，保护具有神秘力量的传说之碟，并将全部的巨狰狞再度封印。
鲁邦三世：炎之记忆 东京危机,热血+奇幻+时泪,2.5万,1673,1180,1998年7月开播,已完结， 全1话,栗田贯一、小林清志、大冢周夫、二阶堂有希子、纳谷悟朗,“鲁邦三世”是日本动漫界的传奇，有不死传说之喻，漫画作者加藤一彦(Monkey Punch)曾表示，鲁邦三世的冒险精神是他一生追求的，身为漫画家的他，主要的休闲活动就是创作，所有的梦想、幻想都在“鲁邦三世”实现。猴子拳将鲁邦三世塑造成一个让人无法讨厌的怪盗，让读者羡慕鲁邦三世逍遥的生活。鲁邦一行周游于世界各地，不时重操盗窃的老本行。
零秒出手 第二季,热血+运动,-,1669,-,2007年7月开播,已完结， 全13话,うえだゆうじ、子安武人、泷本富士子、小林沙苗、中尾隆圣、藤田大助、稻田,"2XXX年，起源于地球的篮球，已经成为了全宇宙流行的体育运动。其中“宇宙同盟”是最强的篮球组织。但是活跃于宇宙联盟赛的明星球员里却没有一个地球人，全都是体能极强的外星人。这样的情况下, 迷一般的老人-吉宗担心地球人的球未来 , 所以用非常优厚的条件, 计划成立一个拥有最强的地球人的队伍，然后让这个队伍称霸宇宙联盟。为了实现那个计划、而被分派到世界各地找寻人才的探子，出现在主人公秀吉所住的平民街。秀吉凭着出众的速度和弹跳力成为了地球选拔队的一员，并且和其他有个性的地球最强的队友们一起以进入“宇宙同盟”为目标。故事由此展开.....“Buzzer beater”这个词来源于NBA赛场，意思是在终场蜂鸣器响之前的那一刻投中“压哨球”的投手。"
书家,战斗,4635,1656,105,2010年3月开播,已完结， 全1话,,故事发生在德川幕府时期，一个地下组织谋划在江户引发混乱，企图推翻幕府的统治。画仙道的长老十文字在察觉这个阴谋后，将门生墨屋纸朗请来江户。画仙道出身的人，他们的绘画和文字都拥有一种特殊能力。本作就是围绕墨屋纸朗等画仙道成员与巨大的画兽展开激烈战斗的动作剧！第7回Animax动画大赏获奖作品。主题：「アクション」（动作）。
鲁邦三世：追寻哈里毛的宝藏,热血+奇幻+时泪,1.7万,1649,1077,1995年8月开播,已完结， 全1话,栗田贯一、小林清志、大冢周夫、二阶堂有希子、纳谷悟朗,　　二战时东南亚的一支义勇军领导人哈里毛，身后留下一个秘密的宝藏，需要集齐三只雕像才能开启。鲁邦刚刚从阿拉斯加的博物馆偷出了第一只，他还需要剩下的两个……　　本作为鲁邦三世TVsp第七弹，于1995年8月4日放送 
鲁邦三世：海明威手稿之谜,时泪,2.1万,1650,898,1990年7月开播,已完结， 全1话,山田康雄、小林清志、大冢周夫、二阶堂有希子、纳谷悟朗,　　据说这是海明威最后的手稿，上面记录了一份巨大财宝的位置。既然扯上了宝藏，鲁邦怎会放过……　　本作为鲁邦三世TVsp第二弹，于1990年7月20日放送。 
街头霸王 剧场版,热血,5.7万,1651,1664,1995年4月开播,已完结， 全1话,,"《街头霸王》是日本CAPCOM公司于1987年推出的经典游戏，堪称格斗游戏的始祖。后来又陆续推出《街头霸王2》、《街头霸王ZERO》、《街头霸王3》、《街头霸王4》，同时游戏又被改编成了动画与电影。除此之外还有很多的周边产品.年轻的隆和KEN为了实现变强的理想，追求世界上最强的力量，结伴踏上了环游世界的旅程。二人为了自身的提高而不断的转战，先后邂逅了古烈，春丽，飞龙和刹加等，也通过一次次的切磋与较量使自己逐渐走向强大。并且在一次机缘巧合之下，隆遇见一位中国老人，后得老人传授拥有波动气功的力量，将其演化成“波动拳”。由此，二人迈向了更高的境界。全篇终极人物便是大家悉的VEGA，他所拥有的“精神力量”令人瞠目，在正义意念的驱使下，隆与KEN，还有诸多格斗家与VEGA展开了激烈的较量，并最终赢得胜利。这部连续剧集中也不乏许多戏剧元素，加上绚丽的武打场面，不愧为一部经典的街霸动画，其中更有豪鬼的客串，使其增加了疑惑观众的效果。此剧确乃街霸爱好者的绝藏。"
奥运高手,热血+运动,3.9万,1645,1266,1996年7月开播,已完结， 全30话,中岛聪彦、伊藤健太郎、千叶一伸,平成学园的男子体操社长年成绩不佳，但是一位对体操充满向往的新生藤卷骏却想要加入体操社。在藤卷骏进入体操社之后，其他的社员纷纷受到激励，并逐渐在比赛中有突出的表现。
相聚一刻 完结篇,少女+日常+治愈,-,1638,-,1988年2月开播,已完结， 全1话,二又一成、岛本须美、千叶繁、青木和代、三田ゆう子,贫穷的落榜生五代裕作住在一所名叫“一刻馆”的破旧公寓中复习备考。公寓中还住着长舌的家族主妇一濑太太、奸猾刻薄的神秘人物四谷以及泼辣开放的酒廊小姐朱美，他们日夜胡闹，令五代叫苦不迭。新来的年轻漂亮的管理员音无响子为五代带来了阳光。然而，五代优柔寡断的性格，响子对亡夫的思念再加上情敌和房客们有意无意的破坏，令他们的爱情之路一波三折。《相聚一刻》又译《一刻公寓》，是高桥留美子的青年漫画作品。该作品于1980年在小学馆青年漫画杂志《Big Comic Spirits》创刊号上开始连载，以其真实感人的情感描画，成为1980年代青年漫画中的经典。作者对男主人公心理的把握非常细致到位，尤其擅长通过小事件潜移默化地推动剧情和人物关系。五代这个角色引起了当时很多年轻人的共鸣，最后他与响子的幸福结合也成为动漫史上的经典爱情场面。
鲁邦三世：the Last Job,热血+搞笑+时泪,4.3万,1636,1364,2010年2月开播,已完结， 全1话,栗田贯一、小林清志、増山江威子、井上真树夫、纳谷悟朗,　鲁邦三世发展至今，已有3部TV版，6部剧场版，4部OVA，还有89年起在电视荧幕上不定期播放时长两小时的特别剧场。而这部《鲁邦三世 THE LAST JOB》则是特别剧场的第二十一弹。　　在德国的保养所居然发现了日本的国宝级文化财产“地狱如来像”！鲁邦等人想要偷出这尊如来像，却始终被谜之忍者强盗集团组织者莫尔加纳妨碍未能成功，而钱形居然被莫尔加纳所杀……？——鲁邦与莫尔加纳一伙的激烈夺宝战，将在这里白热化。 
精神力量,战斗,1.7万,1633,97,1996年1月开播,已完结， 全2话,,世界上有两种人，正常人和超能力者。超能力者是罕见的，强大的，令人害怕的，最后遭到追杀，各种悲剧上演了。主角Burn Griffith偶遇被追杀的超能力者Keith Evans，但最终Keith Evans被抓。令人没想到的是，Keith Evans成了超能力者们的领袖...
苍之流星SPT雷兹纳,热血+科幻,1.9万,1635,414,1985年10月开播,已完结， 全38话,井上和彦、江森浩子、平野　文、梅津秀行、鸟海胜美、鹿股裕司、伊莉莎贝斯·克蕾..,1996年，联合国火星基地遭不明人形兵器的袭击，火星上的美国和苏联军事基地也被摧毁。正当火星的幸存者们感到绝望的时候，一名神秘的少年驾驶着人形机器出现在了他们的面前。
机甲舰队Dairugger XV,热血+科幻,3.3万,1631,219,1982年3月开播,已完结， 全52话,田中秀幸、矢田耕司、古川登志夫、山本龙马、塩屋浩三、间嶋里美,西历2200年，地球、米拉星与萨拉星三惑星联合建立了勘察银河系的联合机甲舰队，以宇宙空母莱卡加德号为旗舰，为寻找能适合人类居住的惑星而向着茫茫的宇宙之海出发了。然而在航行中，莱卡加德却与新的异星人加尔贝斯顿帝国的舰队遭遇。这支加尔贝斯顿帝国的舰队是在加尔贝斯顿母星爆炸前出发、与三惑星联合舰队一样有着前往宇宙寻找新的可居住惑星的任务。由于两舰队有着相同的目的，因此双方发生了冲突，为了对抗加尔贝斯顿帝国舰队的战斗机械，莱卡加德上的安芸学等人将他们驾驶的十五台勘察用机械合体成了防卫用超级机器人达莱卡XV。在两舰队不断的战斗中，加尔贝斯顿帝国舰队内部也逐渐分裂出好战的鹰派和支持与三惑星和平共存的鸠派……拥有十五机合体的达莱卡XV是机器人动画史上最多数量合体的机器人，过去国内曾引进的战神金刚就是该片的美版Voltron（百兽王+机甲舰队），所以年长的朋友应该还记的那句经典的台词“我来组成头部！”吧。
飞跃巅峰 科学讲座,热血+科幻,-,1629,-,1988年10月开播,已完结， 全6话,日高のり子,"21世纪人类开始开发宇宙。但是宇宙生物群(通称宇宙怪兽, STMC)，一种以恒星作载体繁殖的生物来袭，使人类文明受到重大威胁。　　为了对抗宇宙怪兽，机械人兵器和宇宙战舰持续开发中，由地球上的机械人训练学校找出优胜的驾驶员控制。　　2015年，在人类史上第一次和宇宙怪兽接触后，故事的女主角高屋法子进入了机械人训练学校接受训练，驾驶人类对抗宇宙怪兽最强武器Gunbuster，开始了她守护地球使命的故事。 "
